product,day,cellcount,viability,sg,plato,pH,alcohol,date
A,0,,,1.06361,15.58515224,7.18,0,2022-03-21
B,0,,,1.06361,15.58515224,7.52,0,2022-03-21
C,0,,,1.06361,15.58515224,5.68,0,2022-03-21
Hybrid,0,,,1.06361,15.58515224,7.18,0,2022-03-21
A,1,3450000,0.8962,1.0561,13.83198847,5.01,0.0163,2022-03-22
B,1,2840000,0.9242,1.06211,15.23683757,5.67,0.007,2022-03-22
C,1,2800000,0.8394,1.06411,15.70105178,4.56,0.0049,2022-03-22
Hybrid,1,2090000,0.9933,1.0558,13.76147417,4.45,0.0146,2022-03-22
A,2,4490000,0.8589,1.04548,11.3132765,4.25,0.0304,2022-03-23
B,2,3850000,0.9064,1.05149,12.74433865,5.09,0.0201,2022-03-23
C,2,4610000,0.9235,1.04979,12.34105027,3.83,0.0223,2022-03-23
Hybrid,2,5050000,0.9505,1.02755,6.955757414,3.18,0.0505,2022-03-23
A,3,8110000,0.9035,1.03276,8.235549745,4.05,0.0477,2022-03-24
B,3,5360000,0.8727,1.03837,9.601134082,4.93,0.0361,2022-03-24
C,3,9050000,0.9447,1.02594,6.558019811,4.31,0.0524,2022-03-24
Hybrid,3,6820000,0.915,1.00591,1.520761279,3.4,0.079,2022-03-24
A,4,8110000,0.8097,1.02504,6.335218142,3.85,0.0569,2022-03-25
B,4,4860000,0.8169,1.02935,7.399172574,4.78,0.0489,2022-03-25
C,4,7100000,0.8871,1.01192,3.049492904,5.43,0.0723,2022-03-25
Hybrid,4,4170000,0.8693,0.99709,-0.749594559,3.39,0.0924,2022-03-25
ME Hard Seltzer HG,0,8400000,,1.06481,15.86313864,,0,
ME Hard Seltzer HG,1,6350000,0.9,1.06281,15.39949941,5.97,0.0069,
ME Hard Seltzer HG,4,9170000,0.87,1.0003,0.080389319,3.9,0.0889,
ME Hard Seltzer HG,5,6000000,0.87,0.99048,-2.472018201,3.94,0.1014,
ME Hard Seltzer HG,0,8400000,,1.06481,15.86313864,,0,
ME Hard Seltzer HG,1,5860000,0.93,1.06261,15.35304514,6.01,0.0076,
ME Hard Seltzer HG,4,11000000,0.93,0.99439,-1.450988561,4.06,0.0978,
ME Hard Seltzer HG,5,6400000,0.92,0.99178,-2.131848688,4.17,0.1018,
ME Hard Seltzer HG,0,8400000,,1.06481,15.86313864,,0,
ME Hard Seltzer HG,1,5550000,0.92,1.06281,15.39949941,6.02,0.0077,
ME Hard Seltzer HG,4,13000000,0.95,0.99208,-2.053446598,4.22,0.1012,
ME Hard Seltzer HG,0,8400000,,1.06481,15.86313864,,0,
ME Hard Seltzer HG,1,6110000,0.92,1.06251,15.32981184,5.92,0.0074,
ME Hard Seltzer HG,4,12400000,0.99,1.0002,0.054596986,3.93,0.0899,
ME Hard Seltzer HG,5,8820000,0.91,0.99158,-2.184137283,3.98,0.1018,
ME Hard Seltzer HG,0,8400000,,1.06481,15.86313864,,0,
ME Hard Seltzer HG,1,5580000,0.92,1.06231,15.28333292,5.98,0.0076,
ME Hard Seltzer HG,4,10600000,0.98,0.9999,-0.022804653,3.89,0.09,
ME Hard Seltzer HG,5,7160000,0.91,0.99148,-2.210287741,3.94,0.1018,
ME Hard Seltzer HG,0,8400000,,1.06481,15.86313864,,0,
ME Hard Seltzer HG,1,5990000,0.93,1.06261,15.35304514,5.97,0.0073,
ME Hard Seltzer HG,4,11500000,0.99,1.0007,0.18351758,3.93,0.0891,
ME Hard Seltzer HG,5,10400000,0.92,0.99168,-2.157990932,3.98,0.1018,
ME Hard Selzter HG Low Dose,0,,,1.06481,15.86313864,,0,
ME Hard Selzter HG Low Dose,1,,,1.06071,14.91091018,5.71,0.0089,
ME Hard Selzter HG Low Dose,4,,,1.01512,3.857407839,3.61,0.0647,
ME Hard Selzter HG Low Dose,5,,,1.00501,1.29055603,3.57,0.0786,
ME Hard Selzter HG Low Dose,6,,,0.99559,-1.138888269,3.63,0.0949,
ME Hard Selzter HG Low Dose,7,,,0.99128,-2.262600977,3.62,0.101,
A,5,,,1.01532,3.907762886,3.8,0.0699,2022-03-26
B,5,,,1.01943,4.938921574,4.83,0.0623,2022-03-26
C,5,,,1.0007,0.18351758,6.3,0.0881,2022-03-26
Hybrid,5,,,0.99228,-2.001199073,3.45,0.0991,2022-03-26
A,6,,,1.00991,2.539870921,3.75,0.0751,2022-03-27
B,6,,,1.01292,3.302418085,4.82,0.0711,2022-03-27
C,6,,,0.99559,-1.138888269,6.48,0.0959,2022-03-27
Hybrid,6,,,0.99098,-2.341101634,3.51,0.101,2022-03-27
A,7,,,1.00481,1.239354131,3.75,0.0816,2022-03-28
B,7,,,1.00751,1.929193669,4.73,0.0781,2022-03-28
C,7,,,0.99278,-1.870652131,6.15,0.0988,2022-03-28
Hybrid,7,,,0.99078,-2.39345594,3.53,0.101,2022-03-28
A,8,,,0.9995,-0.126064337,3.71,0.0922,2022-03-29
B,8,,,1.0022,0.569663321,4.68,0.086,2022-03-29
C,8,,,0.99208,-2.053446598,6.2,0.1008,2022-03-29
,9,,,0.99539,-1.190863915,3.79,0.097,2022-03-30
B,9,,,0.99789,-0.542349085,4.59,0.092,2022-03-30
C,9,,,0.99188,-2.105710551,6.23,0.101,2022-03-30
A,10,,,0.99188,-2.105710551,3.78,0.1022,2022-03-31
B,10,,,0.99409,-1.529106041,4.66,0.0977,2022-03-31
